name,price,spec_score,votes,user_rating,os,utility,thickness,weight,warranty,screen_size,resolution,ppi,battery,screen_feature1,screen_feature2,processor_name,processor_speed,no_cores,caches,graphics_card,rom_memory,internal_memory,port_connection,wireless_connection,usb_ports,hardware_features
HP Victus 15-fb0157AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹49,800",70,97 votes ,4.3,OS: Windows 11,Utility: Gaming,Thickness: 23.5 mmThick,2.29 kgHeavy,1 Year Warranty,15.6 inchesAverage,1920 x 1080 pixelsAverage,~ 141 PPIAverage,"52.5 Wh, 3 Cell BatteryGood",Touch Screen,Anti Glare,5th Gen AMD Ryzen 5 5600H,6 x 3.3 GHz (Turbo Speed upto 4.2 GHz) Cores,"Hexa Core, 12 Threads",16 MB Cache,"4 GB, AMD Radeon RX 6500M GraphicsLargest",8 GB DDR4 RAMAverage,512 GB SSD,"Ethernet (LAN), HDMI, Multi Card Reader","WiFi, Bluetooth v5.3","2 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
Xiaomi Redmi G Pro 2024 Gaming Laptop (14th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ RTX 4060),"₹1,02,990",78,71 votes ,4.3,OS: Windows 11,Utility: Gaming,Thickness: 23.45 mmThick,2.7 kgHeavy,1 Year Warranty,16.1 inchesLarge,2560 x 1600 pixelsGood,~ 188 PPIHigh,80 Wh BatteryGood,Anti Glare,,14th Gen Intel Core i9 14900HX,8 x 2.2 GHz (Turbo Speed upto 5.8 GHz) Performance Cores16 x 1.6 GHz (Turbo Speed upto 4.1 GHz) Efficient Cores,"24 Cores (8P + 16E), 32 Threads",36 MB Cache,"8 GB, NVIDIA GeForce RTX 4060 GraphicsLargest",16 GB DDR5 RAMLargest,1 TB SSD,"HDMI, Display Port, Thunderbolt, Multi Card Reader","WiFi, Bluetooth v5.3","1 x USB 2.0, 3 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
Tecno Megabook T1 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹23,990",56,177 votes ,4.4,OS: Windows 11,Utility: Performance,Thickness: 14.8 mmUltra Slim,1.56 kgAverage,1 Year Warranty,15.6 inchesLargest,1920 x 1080 pixelsAverage,~ 141 PPIAverage,70 Wh BatteryGood,Anti Glare,16:9 Aspect Ratio,11th Gen Intel Core i3 1115G4,2 x 3 GHz (Turbo Speed upto 4.1 GHz) Cores,"Dual Core, 4 Threads",6 MB Cache,Intel UHD Graphics Graphics,8 GB LPDDR4 RAMLargest,512 GB SSD,HDMI,"WiFi, Bluetooth","3 x USB 3.0, 2 x USB Type-C","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
Samsung Galaxy Book2 Pro 13 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹62,990",60,"1,511 votes • 23 reviews",4.5,OS: Windows 11,Utility: Everyday Use,Thickness: 11.2 mmSlim,870 gLight,1 Year Warranty,13.3 inchesSmall,1080 x 1920 pixelsAverage,~ 166 PPIHigh,,Anti Glare,,12th Gen Intel Core i5 1240P,4 x 1.7 GHz (Turbo Speed upto 4.4 GHz) Performance Cores8 x 1.2 GHz (Turbo Speed upto 3.3 GHz) Efficient Cores,"12 Cores (4P + 8E), 16 Threads",12 MB Cache,Intel Iris Xe Graphics Graphics,16 GB LPDDR5 RAMAverage,512 GB SSD,"HDMI, Thunderbolt, Multi Card Reader","WiFi, Bluetooth v5.1","1 x USB 3.0, 1 x USB Type-C","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB SSD/ MacOS),"₹79,990",43,"20,380 votes • 43 reviews",4.7,OS: Mac,Utility: Performance,Thickness: 16.1 mmSlim,1.29 kgLight,1 Year Warranty,13.3 inchesSmall,2560 x 1600 pixelsGood,~ 227 PPIHigh,49.9 Wh BatteryGood,,,Apple M1,4 x (Turbo Speed upto 3.2 GHz) Performance Cores4 x (Turbo Speed upto 2.1 GHz) Efficient Cores,Octa Core (4P + 4E),Apple M1 Integrated Graphics Graphics,8 GB DDR4 RAMSmallest,256 GB SSD,,Thunderbolt,"WiFi, Bluetooth v5.0","2 x USB 3.0, 2 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
Lenovo V15 G4 ‎82YU00W7IN Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),"₹26,780",55,205 votes • 14 reviews,4.3,OS: Windows 11,Utility: Performance,Thickness: 19.9 mmAverage,1.65 kgAverage,1 Year Warranty,15.6 inchesLargest,1920 x 1080 pixelsAverage,~ 147 PPIHigh,,Anti Glare,,7th Gen AMD Ryzen 3 7320U,4 x 2.4 GHz (Turbo Speed upto 4.1 GHz) Cores,"Quad Core, 8 Threads",4 MB Cache,AMD Radeon Graphics Graphics,8 GB LPDDR5 RAMLargest,512 GB SSD,"Ethernet (LAN), HDMI, Multi Card Reader","WiFi, Bluetooth","2 x USB 3.0, 1 x USB Type-C",Inbuilt Microphone
HP 15s-fq5007TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹35,990",55,"3,400 votes • 32 reviews",4.2,OS: Windows 11,Utility: Everyday Use,Thickness: 17.9 mmSlim,1.69 kgAverage,1 Year Warranty,15.6 inchesLarge,1920 x 1080 pixelsAverage,~ 141 PPIAverage,"41 Wh, 3 Cell BatteryGood",Anti Glare,16:9 Aspect Ratio,12th Gen Intel Core i3 1215U,2 x 1.2 GHz (Turbo Speed upto 4.4 GHz) Performance Cores4 x 900 MHz (Turbo Speed upto 3.3 GHz) Efficient Cores,"Hexa Core (2P + 4E), 8 Threads",10 MB Cache,Intel UHD Graphics Graphics,8 GB DDR4 RAMAverage,512 GB SSD,"HDMI, Multi Card Reader","WiFi, Bluetooth v5.2","2 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
HP 15s-fq5330TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹54,990",56,111 votes ,4.0,OS: Windows 11,Utility: Performance,Thickness: 17.9 mmSlim,1.69 kgAverage,1 Year Warranty,15.6 inchesAverage,1920 x 1080 pixelsAverage,~ 141 PPIAverage,"41 Wh, 3 Cell BatteryGood",Anti Glare,,12th Gen Intel Core i5 1235U,2 x 1.3 GHz (Turbo Speed upto 4.4 GHz) Performance Cores8 x 900 MHz (Turbo Speed upto 3.3 GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12 MB Cache,Intel Integrated Iris Xe Graphics,16 GB DDR4 RAMAverage,512 GB SSD,"HDMI, Multi Card Reader","WiFi, Bluetooth v5.0","2 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
Asus Vivobook 15 X1502ZA-EJ544WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹52,990",59,88 votes • 6 reviews,4.5,OS: Windows 11,Utility: Performance,1.7 kgAverage,1 Year Warranty,,15.6 inchesLarge,1920 x 1080 pixelsAverage,~ 141 PPIAverage,"42 Wh, 3 Cell BatteryGood",Anti Glare,16:09 Aspect Ratio,12th Gen Intel Core i5 12500H,4 x 2.5 GHz (Turbo Speed upto 4.5 GHz) Performance Cores8 x 1.8 GHz (Turbo Speed upto 3.3 GHz) Efficient Cores,"12 Cores (4P + 8E), 16 Threads",18 MB Cache,Intel Iris Xe Graphics,16 GB DDR4 RAMAverage,512 GB SSD,HDMI,"WiFi, Bluetooth v5.0","1 x USB 2.0, 2 x USB 3.0, 1 x USB Type-C","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
Apple MacBook Air 2022 Laptop (Apple M2/ 8GB/ 256GB SSD/ MacOS),"₹99,900",47,"5,622 votes • 49 reviews",4.7,OS: Mac,Utility: Performance,Thickness: 11.3 mmSlim,1.24 kgLight,1 Year Warranty,13.6 inchesSmall,2560 x 1664 pixelsGood,~ 224 PPIHigh,52.6 Wh BatteryGood,,,Apple M2,4 x (Turbo Speed upto 3.5 GHz) Performance Cores4 x (Turbo Speed upto 2.4 GHz) Efficient Cores,Octa Core (4P + 4E),16 MB Cache,8-Core GPU Graphics,8 GB DDR4 RAMSmallest,256 GB SSD,"Display Port, Thunderbolt","WiFi, Bluetooth v5.0",2 x USB Type-C,"Backlit Keyboard, Inbuilt Microphone"
